noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,tmdbId,movieId,imdbId
1,3,9,73,4,29,862,1,114709
11,6,9,2,0,14,8844,2,113497
0,3,4,0,0,4,15602,3,113228
0,4,6,6,1,3,31357,4,114885
1,5,6,0,2,5,11862,5,113041
20,15,30,44,6,21,949,6,113277
11,27,19,22,11,20,11860,7,114319
0,3,4,0,0,4,45325,8,112302
0,1,5,1,1,7,9091,9,114576
1,7,12,23,5,18,710,10,113189
1,7,10,0,0,6,9087,11,112346
0,4,7,3,0,6,12110,12,112896
2,3,8,8,2,4,21032,13,112453
3,5,26,0,0,8,10858,14,113987
9,2,20,2,2,12,1408,15,112760
16,3,26,0,3,7,524,16,112641
1,7,9,1,3,4,4584,17,114388
2,14,8,58,7,23,5,18,113101
4,1,10,2,0,9,9273,19,112281
1,2,12,21,5,18,11517,20,113845
2,2,12,11,4,11,8012,21,113161
5,3,7,4,3,14,1710,22,112722
7,2,8,36,11,24,9691,23,112401
0,1,4,2,0,7,12665,24,114168
0,7,7,1,3,8,451,25,113627
1,2,6,0,0,3,16420,26,114057
2,10,4,1,5,2,9263,27,114011
8,8,10,15,3,4,17015,28,114117
25,4,8,14,1,6,902,29,112682
5,1,0,3,0,1,37557,30,115012
6,4,5,11,7,8,9909,31,112792
10,13,42,116,4,31,63,32,114746
2,1,4,16,3,6,78802,33,114952
6,6,6,0,0,11,9598,34,112431
1,4,7,21,2,7,47018,35,112637
11,10,21,60,7,28,687,36,112818
4,0,1,6,2,3,139405,37,112286
7,4,2,1,0,1,33689,38,113442
2,6,6,4,5,2,9603,39,112697
7,1,2,1,0,3,34615,40,112749
1,3,14,0,0,4,31174,41,114279
0,3,10,0,1,8,11443,42,112819
0,3,7,4,0,2,35196,43,114272
4,1,6,7,2,6,9312,44,113855
2,5,7,5,6,5,577,45,114681
3,19,12,2,10,6,11861,46,113347
11,6,32,51,8,32,807,47,114369
2,3,11,20,1,10,10530,48,114148
1,1,2,3,4,1,8391,49,114916
3,2,13,37,7,20,629,50,114814
1,2,4,0,0,1,117164,51,109950
1,4,7,3,8,19,11448,52,113819
3,0,2,1,0,3,49133,53,110299
3,2,8,0,2,0,26441,54,112499
0,2,6,1,0,1,97406,55,113158
0,1,4,0,0,3,124057,56,113541
0,5,5,6,6,5,9089,57,113321
9,1,4,4,0,6,11010,58,110877
