castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity
25.0,12.1,30000000,373554033.0,12.4518011,7.7,5415.0,81.0,1995,0.8274,en,21.946943
40.0,0.0,65000000,262797249.0,4.0430346,6.9,2413.0,104.0,1995,0.9534,en,17.015539
42.9,0.0,0,0.0,-1,6.5,92.0,101.0,1995,0.9726,en,11.7129
40.0,25.0,16000000,81452156.0,5.09075975,6.1,34.0,127.0,1995,0.9726,en,3.859495
45.5,28.6,0,76578911.0,-1,5.7,173.0,106.0,1995,0.1096,en,8.387519
33.3,22.2,60000000,187436818.0,3.1239469667,7.7,1886.0,170.0,1995,0.9534,en,17.924927
58.7,35.5,58000000,0.0,-1,6.2,141.0,127.0,1995,0.9534,en,6.677277
42.9,0.0,0,0.0,-1,5.4,45.0,97.0,1995,0.9726,en,2.561161
16.7,12.5,35000000,64350171.0,1.8385763143,5.5,174.0,106.0,1995,0.9726,en,5.23158
36.8,21.7,58000000,352194034.0,6.072310931,6.6,1194.0,130.0,1995,0.874,en,14.686036
41.2,0.0,62000000,107879496.0,1.739991871,6.5,199.0,106.0,1995,0.8767,en,6.318445
36.4,0.0,0,0.0,-1,5.7,210.0,88.0,1995,0.9726,en,5.430331
27.3,33.3,0,11348324.0,-1,7.1,423.0,78.0,1995,0.9726,en,12.140733
16.1,0.0,44000000,13681765.0,0.3109492045,7.1,72.0,192.0,1995,0.9726,en,5.092
9.1,14.3,98000000,10017322.0,0.1022175714,5.7,137.0,119.0,1995,0.9726,en,7.284477
10.3,30.0,52000000,116112375.0,2.2329302885,7.8,1343.0,178.0,1995,0.8904,en,10.137389
43.8,42.9,16500000,135000000.0,8.1818181818,7.2,364.0,136.0,1995,0.9479,en,10.673167
63.6,23.3,4000000,4300000.0,1.075,6.5,539.0,98.0,1995,0.937,en,9.026586
9.1,0.0,30000000,212385533.0,7.0795177667,6.1,1128.0,90.0,1995,0.8575,en,8.205448
14.3,21.7,60000000,35431113.0,0.59051855,5.4,224.0,103.0,1995,0.8877,en,7.337906
14.3,26.7,30250000,115101622.0,3.8050122975,6.4,305.0,105.0,1995,0.8,en,12.669608
30.0,17.6,0,0.0,-1,6.5,199.0,124.0,1995,0.8192,en,10.701801
20.0,31.4,50000000,30303072.0,0.60606144,6.0,394.0,132.0,1995,0.7616,en,11.065939
20.0,0.0,0,0.0,-1,6.3,143.0,111.0,1995,0.8192,en,12.133094
50.0,27.3,3600000,49800000.0,13.8333333333,7.1,365.0,112.0,1995,0.8192,en,10.332025
25.0,0.0,0,0.0,-1,7.0,33.0,123.0,1995,0.9534,en,1.845899
71.4,71.4,12000000,27400000.0,2.2833333333,6.6,91.0,100.0,1995,0.8,en,8.681325
44.4,42.9,0,0.0,-1,7.4,36.0,104.0,1995,0.737,en,2.228434
33.3,14.3,18000000,1738611.0,0.0965895,7.6,308.0,108.0,1995,0.3699,fr,9.822423
100.0,0.0,0,0.0,-1,6.5,17.0,108.0,1995,0.326,zh,1.100915
44.4,46.7,0,180000000.0,-1,6.4,249.0,99.0,1995,0.6082,en,9.481338
23.6,11.4,29500000,168840000.0,5.7233898305,7.4,2470.0,129.0,1995,0.9918,en,12.297305
20.0,33.3,0,0.0,-1,6.8,4.0,50.0,1996,0.7131,fr,0.745542
50.0,0.0,30000000,254134910.0,8.4711636667,6.0,756.0,89.0,1995,0.5425,en,14.404764
36.4,22.2,0,0.0,-1,6.4,16.0,121.0,1995,0.8521,en,1.493361
32.3,20.0,11000000,39363635.0,3.5785122727,7.3,350.0,122.0,1995,0.9918,en,6.891317
0.0,40.0,0,0.0,-1,3.5,2.0,51.0,1995,0.8,en,0.114469
66.7,0.0,0,0.0,-1,6.1,149.0,101.0,1995,0.8767,en,7.777735
50.0,71.4,12000000,0.0,-1,6.9,828.0,97.0,1995,0.5452,en,9.882383
33.3,0.0,0,676525.0,-1,6.7,13.0,106.0,1995,0.9534,en,0.894647
17.6,0.0,0,0.0,-1,6.9,50.0,104.0,1995,0.9918,en,4.561387
23.1,11.1,10000000,0.0,-1,6.6,80.0,119.0,1995,0.7616,en,9.87957
30.0,0.0,19000000,0.0,-1,6.3,30.0,117.0,1995,0.9918,en,10.979269
14.3,25.0,18000000,122195920.0,6.7886622222,5.4,452.0,101.0,1995,0.6274,en,10.870138
41.7,54.5,20000000,21284514.0,1.0642257,6.7,177.0,106.0,1995,0.3808,en,10.448481
61.3,62.5,10000000,23574130.0,2.357413,6.5,38.0,116.0,1995,0.7616,en,4.485958
15.8,20.0,33000000,327311859.0,9.9185411818,8.1,5915.0,127.0,1995,0.7233,en,18.45743
21.4,9.1,55000000,346079773.0,6.2923595091,6.7,1509.0,81.0,1995,0.4493,en,13.280069
33.3,80.0,0,0.0,-1,5.9,10.0,96.0,1995,0.3397,en,3.302524
13.3,25.9,6000000,23341568.0,3.8902613333,8.1,3334.0,106.0,1995,0.5452,en,16.302466
33.3,0.0,0,0.0,-1,6.3,3.0,93.0,1994,0.8904,en,0.595949
36.4,29.6,15000000,6700000.0,0.4466666667,6.7,145.0,95.0,1995,0.6986,en,15.899134
0.0,0.0,0,0.0,-1,7.7,11.0,116.0,1994,0.0,it,1.361286
20.0,100.0,0,0.0,-1,5.2,41.0,100.0,1995,0.7425,en,5.982764
25.0,0.0,0,0.0,-1,6.1,15.0,115.0,1995,0.3781,en,4.093443
20.0,0.0,0,0.0,-1,3.0,1.0,89.0,1997,0.5151,en,0.307075
50.0,54.5,0,17519169.0,-1,6.3,39.0,103.0,1995,0.8356,en,8.416802
20.0,0.0,0,0.0,-1,7.6,181.0,108.0,1994,0.7233,it,10.168437
50.0,0.0,0,0.0,-1,6.5,2.0,100.0,1995,0.7425,fr,0.120789
22.2,42.9,45000000,0.0,-1,5.9,136.0,96.0,1995,0.5315,en,10.673296
52.9,38.9,20000000,0.0,-1,5.8,65.0,101.0,1996,0.0301,en,4.733526
46.7,23.1,0,106269971.0,-1,6.9,115.0,137.0,1995,0.9918,en,7.137117
41.7,0.0,0,0.0,-1,6.2,192.0,89.0,1996,0.0301,en,11.700115
40.0,0.0,0,0.0,-1,4.5,14.0,96.0,1996,0.0301,en,2.174487
50.0,0.0,15000000,0.0,-1,4.4,110.0,88.0,1996,0.0301,en,6.387469
33.3,0.0,0,2409225.0,-1,2.8,32.0,92.0,1996,0.0301,en,2.49535
25.0,0.0,0,0.0,-1,5.4,11.0,85.0,1995,0.8055,en,4.046208
50.0,50.0,0,0.0,-1,6.0,43.0,95.0,1995,0.1041,fr,2.518051
35.3,0.0,3500000,28215918.0,8.0616908571,7.0,513.0,91.0,1995,0.3151,en,14.56965
26.3,18.4,19000000,25836616.0,1.3598218947,6.9,1644.0,108.0,1996,0.0492,en,15.339153
23.5,22.2,50000000,11534477.0,0.23068954,4.1,54.0,91.0,1995,0.8384,en,5.912223
35.3,0.0,0,718490.0,-1,7.0,36.0,96.0,1995,0.7616,en,3.367276
33.3,0.0,0,0.0,-1,6.6,8.0,175.0,1995,0.2192,fr,1.479446
47.4,27.8,0,19030691.0,-1,5.1,27.0,87.0,1996,0.0683,en,10.412194
28.6,0.0,15000000,2042530.0,0.1361686667,3.9,16.0,90.0,1996,0.0683,en,2.936443
28.6,25.0,20000000,5781885.0,0.28909425,6.1,154.0,108.0,1995,0.6849,en,12.758848
50.0,100.0,0,0.0,-1,7.3,3.0,70.0,1995,0.1315,en,0.133893
42.9,0.0,0,0.0,-1,6.1,74.0,111.0,1995,0.8712,en,5.756462
23.1,0.0,44000000,0.0,-1,5.5,91.0,118.0,1996,0.0874,en,6.010579
-1,0.0,0,0.0,-1,7.5,20.0,85.0,1995,0.0,fa,1.196256
28.6,12.5,8000000,529766.0,0.06622075,6.7,87.0,116.0,1995,0.9151,en,4.486179
75.0,0.0,900000,0.0,-1,7.2,26.0,102.0,1995,0.6959,nl,2.030174
50.0,0.0,0,0.0,-1,4.5,2.0,115.0,1996,0.0683,en,0.252287
46.7,0.0,0,0.0,-1,0.0,0.0,108.0,1995,0.8904,en,0.531159
57.1,50.0,0,0.0,-1,6.3,17.0,118.0,1995,0.6904,en,2.15166
6.7,0.0,38000000,10300000.0,0.2710526316,6.3,86.0,129.0,1996,0.0874,en,9.568604
33.3,0.0,16000000,0.0,-1,5.1,59.0,88.0,1996,0.0301,en,4.814825
7.7,0.0,0,32.0,-1,6.0,124.0,87.0,1996,0.0847,en,8.963037
33.3,11.1,8169363,8175346.0,1.0007323704,6.1,190.0,90.0,1995,0.8904,en,6.848591
20.0,22.2,0,0.0,-1,6.7,3.0,91.0,1995,0.7014,en,0.411424
