castFemalePercentage,crewFemalePercentage,budget_x,revenue_x,movieDatasetRevenueRatio,budget_y,revenue_y,bechdelRevenueRatio,vote_average,vote_count,runtime,binary,nowomen,notalk,men,dubious,ok,clean_test
25.0,12.1,30000000,373554033.0,12.4518011,30000000,556311013.0,18.5437004333,7.7,5415.0,81.0,0,0,1,0,0,0,notalk
40.0,0.0,65000000,262797249.0,4.0430346,65000000,363216620.0,5.587948,6.9,2413.0,104.0,1,0,0,0,0,1,ok
41.2,0.0,62000000,107879496.0,1.739991871,62000000,167845626.0,2.7071875161,6.5,199.0,106.0,1,0,0,0,0,1,ok
10.3,30.0,52000000,116112375.0,2.2329302885,52000000,152838300.0,2.9391980769,7.8,1343.0,178.0,0,0,0,1,0,0,men
43.8,42.9,16500000,135000000.0,8.1818181818,16500000,177987548.0,10.7871241212,7.2,364.0,136.0,1,0,0,0,0,1,ok
63.6,23.3,4000000,4300000.0,1.075,4000000,8602000.0,2.1505,6.5,539.0,98.0,0,0,1,0,0,0,notalk
20.0,31.4,50000000,30303072.0,0.60606144,50000000,113612536.0,2.27225072,6.0,394.0,132.0,0,0,1,0,0,0,notalk
23.6,11.4,29500000,168840000.0,5.7233898305,29000000,225982918.0,7.7925144138,7.4,2470.0,129.0,0,0,1,0,0,0,notalk
14.3,25.0,18000000,122195920.0,6.7886622222,20000000,192566454.0,9.6283227,5.4,452.0,101.0,0,0,1,0,0,0,notalk
15.8,20.0,33000000,327311859.0,9.9185411818,30000000,428251286.0,14.2750428667,8.1,5915.0,127.0,0,0,1,0,0,0,notalk
21.4,9.1,55000000,346079773.0,6.2923595091,55000000,488679773.0,8.8850867818,6.7,1509.0,81.0,1,0,0,0,0,1,ok
13.3,25.9,6000000,23341568.0,3.8902613333,6000000,57790924.0,9.6318206667,8.1,3334.0,106.0,0,0,1,0,0,0,notalk
26.3,18.4,19000000,25836616.0,1.3598218947,20000000,51457922.0,2.5728961,6.9,1644.0,108.0,0,0,1,0,0,0,notalk
7.1,0.0,50000000,150270147.0,3.00540294,65000000,218991994.0,3.3691076,5.7,459.0,108.0,0,1,0,0,0,0,nowomen
57.1,20.0,24000000,182016617.0,7.5840257083,22000000,247033234.0,11.2287833636,7.3,397.0,135.0,1,0,0,0,0,1,ok
3.3,4.0,72000000,210000000.0,2.9166666667,72000000,284545647.0,3.952022875,7.7,3404.0,177.0,0,0,0,1,0,0,men
27.3,27.3,1300000,28262574.0,21.7404415385,1000000,56525148.0,56.525148,8.1,2632.0,114.0,0,0,1,0,0,0,notalk
24.0,25.8,52000000,355237933.0,6.8314987115,65000000,506170496.0,7.7872384,7.3,1637.0,140.0,1,0,0,0,0,1,ok
26.7,27.6,100000000,336529144.0,3.36529144,100000000,520560256.0,5.20560256,5.2,1529.0,121.0,0,0,1,0,0,0,notalk
20.8,41.2,50000000,287928194.0,5.75856388,55000000,382628194.0,6.9568762545,6.0,1045.0,100.0,1,0,0,0,0,1,ok
22.2,22.2,50000000,152022101.0,3.04044202,50000000,233044666.0,4.66089332,5.0,214.0,109.0,0,1,0,0,0,0,nowomen
25.0,4.8,90000000,366101666.0,4.0677962889,90000000,464493245.0,5.1610360556,6.9,2094.0,128.0,0,0,1,0,0,0,notalk
27.8,0.0,6000000,2122561.0,0.3537601667,6100000,4216734.0,0.6912678689,6.8,400.0,94.0,0,0,1,0,0,0,notalk
25.0,0.0,22000000,110627965.0,5.0285438636,22000000,161143466.0,7.324703,5.6,359.0,114.0,1,0,0,0,0,1,ok
50.0,12.5,45000000,20350754.0,0.4522389778,40000000,58101508.0,1.4525377,4.9,261.0,128.0,1,0,0,0,0,1,ok
37.7,14.6,35000000,113374103.0,3.2392600857,35000000,173408898.0,4.9545399429,5.5,457.0,108.0,0,0,0,0,1,0,dubious
23.1,12.9,175000000,264218220.0,1.5098184,175000000,352492440.0,2.0142425143,5.9,1017.0,135.0,0,1,0,0,0,0,nowomen
42.9,57.1,2500000,5535405.0,2.214162,2500000,10548010.0,4.219204,7.7,984.0,105.0,0,1,0,0,0,0,nowomen
0.0,0.0,27000,3151130.0,116.7085185185,27000,6967668.0,258.0617777778,7.4,769.0,92.0,0,0,1,0,0,0,notalk
40.0,31.2,16000000,247275374.0,15.454710875,16000000,373575374.0,23.348460875,6.5,1894.0,107.0,0,0,0,1,0,0,men
20.4,22.2,18000000,5887457.0,0.3270809444,18000000,11656932.0,0.6476073333,7.3,639.0,127.0,1,0,0,0,0,1,ok
6.0,16.7,11000000,775398007.0,70.4907279091,11000000,1258898007.0,114.4452733636,8.1,6778.0,121.0,0,0,1,0,0,0,notalk
25.0,25.0,30000000,160638883.0,5.3546294333,30000000,227005146.0,7.5668382,7.2,636.0,133.0,1,0,0,0,0,1,ok
14.3,15.4,50000000,189859560.0,3.7971912,50000000,135647146.0,2.71294292,6.4,522.0,127.0,1,0,0,0,0,1,ok
39.0,33.3,8000000,213928762.0,26.74109525,8000000,320857524.0,40.1071905,8.3,8670.0,154.0,1,0,0,0,0,1,ok
18.8,0.0,32000000,18552460.0,0.579764375,32000000,37104920.0,1.15952875,6.2,431.0,107.0,0,0,1,0,0,0,notalk
33.3,33.3,45000000,170362582.0,3.7858351556,45000000,114725162.0,2.5494480444,5.5,317.0,110.0,0,0,1,0,0,0,notalk
16.7,11.8,55000000,196567262.0,3.5739502182,55000000,268131338.0,4.8751152364,6.8,942.0,121.0,0,0,1,0,0,0,notalk
33.3,0.0,22000000,189833357.0,8.6287889545,22000000,334633357.0,15.2106071364,6.3,501.0,97.0,0,0,1,0,0,0,notalk
0.0,14.3,25000000,28341469.0,1.13365876,25000000,56482938.0,2.25931752,8.5,8358.0,142.0,0,1,0,0,0,0,nowomen
64.3,22.2,25000000,4064495.0,0.1625798,25000000,8128666.0,0.32514664,5.5,140.0,98.0,1,0,0,0,0,1,ok
23.1,11.1,15000000,107217396.0,7.1478264,12000000,179434792.0,14.9528993333,6.4,1684.0,86.0,0,0,0,1,0,0,men
