noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,tmdbId
1,3,9,73,4,29,862
11,6,9,2,0,14,8844
0,3,4,0,0,4,15602
0,4,6,6,1,3,31357
1,5,6,0,2,5,11862
20,15,30,44,6,21,949
11,27,19,22,11,20,11860
0,3,4,0,0,4,45325
0,1,5,1,1,7,9091
1,7,12,23,5,18,710
1,7,10,0,0,6,9087
0,4,7,3,0,6,12110
2,3,8,8,2,4,21032
3,5,26,0,0,8,10858
9,2,20,2,2,12,1408
16,3,26,0,3,7,524
1,7,9,1,3,4,4584
2,14,8,58,7,23,5
4,1,10,2,0,9,9273
1,2,12,21,5,18,11517
2,2,12,11,4,11,8012
5,3,7,4,3,14,1710
7,2,8,36,11,24,9691
0,1,4,2,0,7,12665
0,7,7,1,3,8,451
1,2,6,0,0,3,16420
2,10,4,1,5,2,9263
8,8,10,15,3,4,17015
25,4,8,14,1,6,902
5,1,0,3,0,1,37557
6,4,5,11,7,8,9909
10,13,42,116,4,31,63
2,1,4,16,3,6,78802
6,6,6,0,0,11,9598
1,4,7,21,2,7,47018
11,10,21,60,7,28,687
4,0,1,6,2,3,139405
7,4,2,1,0,1,33689
2,6,6,4,5,2,9603
7,1,2,1,0,3,34615
1,3,14,0,0,4,31174
0,3,10,0,1,8,11443
0,3,7,4,0,2,35196
4,1,6,7,2,6,9312
2,5,7,5,6,5,577
3,19,12,2,10,6,11861
11,6,32,51,8,32,807
2,3,11,20,1,10,10530
1,1,2,3,4,1,8391
3,2,13,37,7,20,629
1,2,4,0,0,1,117164
1,4,7,3,8,19,11448
3,0,2,1,0,3,49133
3,2,8,0,2,0,26441
0,2,6,1,0,1,97406
0,1,4,0,0,3,124057
0,5,5,6,6,5,9089
9,1,4,4,0,6,11010
3,1,1,0,0,2,99040
1,2,7,3,3,4,11359
0,9,8,10,7,11,17182
1,7,8,31,6,20,2054
2,5,7,1,0,11,10607
2,4,6,0,0,3,19760
0,6,6,2,0,7,9536
3,4,8,5,0,8,11525
1,1,3,0,0,2,40628
4,2,2,4,2,2,4482
1,6,11,1,0,4,10634
14,5,14,79,7,31,755
1,4,13,5,2,7,11859
4,6,11,1,0,3,28387
4,4,8,0,0,3,48750
16,9,10,145,10,26,20927
0,2,5,0,0,3,36929
2,2,5,19,4,12,9102
3,2,2,5,1,0,124626
8,9,12,0,0,11,27526
2,3,10,2,0,8,9623
5,0,0,1,0,1,46785
0,4,10,0,1,7,400
10,3,1,8,0,1,880
1,5,5,2,0,1,146599
1,7,8,0,0,1,188588
1,4,3,22,3,3,8447
0,1,14,3,0,7,10534
1,5,10,1,0,6,17414
4,1,12,1,0,1,13997
0,4,8,1,1,8,2086
1,1,4,3,2,7,61548
2,3,6,3,5,6,9095
1,2,6,3,1,7,12158
3,16,20,14,6,15,9283
1,1,13,5,0,12,9208
2,4,8,0,1,6,40154
8,1,11,14,0,10,406
6,4,11,1,0,2,45549
4,1,2,2,0,4,63076
0,1,6,0,0,6,11062
6,1,5,2,3,13,13685
1,5,3,0,0,1,47475
1,3,5,1,1,6,2045
6,1,10,0,0,10,9614
5,4,3,3,2,8,688
2,2,2,5,2,0,11907
5,1,6,1,0,7,10874
29,9,10,2,0,0,89333
1,1,7,4,0,1,96357
25,1,29,42,1,24,197
8,6,16,24,6,16,103
5,1,3,3,0,1,33542
2,4,9,0,0,4,43566
1,3,2,22,1,6,71754
3,2,8,6,1,2,43612
0,1,1,1,0,0,51352
15,3,10,7,1,1,16934
1,3,3,2,1,3,10324
0,3,6,3,0,2,78406
4,3,7,0,0,2,55731
1,0,4,0,0,1,32119
1,6,6,2,0,4,11066
7,3,2,8,0,5,11104
49,2,9,4,0,0,37975
5,10,10,4,5,6,2074
1,5,8,5,2,11,27793
5,1,0,14,0,0,44284
1,0,0,2,0,0,290157
1,3,5,11,5,9,110972
2,2,1,8,5,3,32622
1,1,5,4,0,3,73067
2,4,15,3,0,3,11863
13,0,2,0,0,2,55475
11,0,1,2,0,0,124636
8,5,34,9,5,14,9101
0,2,0,5,1,0,123360
7,6,6,2,0,3,5757
0,6,5,1,2,4,39428
0,0,0,1,0,0,124639
1,4,7,2,1,5,9302
0,3,7,0,1,4,11000
0,1,4,3,0,1,249882
4,4,2,4,0,3,16388
11,7,14,3,3,14,9737
1,1,3,1,0,2,30765
3,2,7,5,2,3,10474
4,6,10,16,5,8,22279
1,6,6,8,2,7,30157
2,6,19,79,8,23,568
9,5,10,2,0,7,11780
0,3,3,3,0,4,34996
2,4,11,70,8,21,414
6,4,9,17,0,7,649
10,2,2,2,2,11,1873
1,6,13,5,2,12,5894
2,1,14,3,3,6,1775
10,5,19,5,7,10,8839
49,2,27,1,0,2,20649
3,4,14,0,2,7,10329
2,0,16,10,1,21,8963
3,1,2,3,2,3,26564
4,2,10,8,2,10,8068
0,2,9,2,2,4,8512
5,3,9,28,1,20,1572
4,3,7,1,3,8,13552
1,2,4,10,2,8,259209
5,2,9,4,2,10,6520
0,3,7,3,3,4,9073
6,3,16,13,4,12,10428
0,8,8,5,1,5,17447
23,3,12,3,0,6,9886
0,3,14,6,1,13,9482
5,5,11,2,2,2,19326
10,2,4,5,0,5,9344
0,3,6,3,0,3,9071
0,6,11,4,0,7,8973
3,3,7,1,0,1,15730
18,4,7,1,2,2,47608
0,5,13,2,0,8,2293
2,3,7,4,1,10,9070
0,6,1,2,0,1,68274
5,0,8,3,0,3,48787
0,2,4,4,3,8,34574
12,5,15,0,0,6,1642
8,9,6,17,5,19,11472
1,2,5,7,6,3,36196
2,2,5,1,0,7,11980
1,1,2,5,3,9,58372
2,6,5,2,2,5,32646
2,4,5,5,0,5,10533
3,0,5,0,0,0,56088
1,11,11,1,1,7,10802
1,3,10,3,2,6,10149
5,7,4,0,3,2,18402
0,20,33,2,6,35,9348
1,3,6,1,0,1,139408
0,4,10,3,6,8,281
4,2,3,8,0,2,5967
7,18,14,10,6,12,79593
1,5,13,0,3,2,47939
8,2,7,3,2,4,36834
0,6,9,3,5,8,9090
1,3,8,7,1,12,3512
1,1,3,0,1,1,52856
1,4,2,0,0,1,77350
0,4,4,30,5,23,9560
2,3,10,85,4,27,9804
0,2,3,2,0,0,31611
0,4,7,0,0,2,65796
3,2,7,1,0,2,49805
