castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity
25.0,12.1,30000000,373554033.0,12.4518011,7.7,5415.0,81.0,1995.0,0.8274,en,21.946943
40.0,0.0,65000000,262797249.0,4.0430346,6.9,2413.0,104.0,1995.0,0.9534,en,17.015539
40.0,25.0,16000000,81452156.0,5.09075975,6.1,34.0,127.0,1995.0,0.9726,en,3.859495
33.3,22.2,60000000,187436818.0,3.1239469667,7.7,1886.0,170.0,1995.0,0.9534,en,17.924927
16.7,12.5,35000000,64350171.0,1.8385763143,5.5,174.0,106.0,1995.0,0.9726,en,5.23158
36.8,21.7,58000000,352194034.0,6.072310931,6.6,1194.0,130.0,1995.0,0.874,en,14.686036
41.2,0.0,62000000,107879496.0,1.739991871,6.5,199.0,106.0,1995.0,0.8767,en,6.318445
16.1,0.0,44000000,13681765.0,0.3109492045,7.1,72.0,192.0,1995.0,0.9726,en,5.092
9.1,14.3,98000000,10017322.0,0.1022175714,5.7,137.0,119.0,1995.0,0.9726,en,7.284477
10.3,30.0,52000000,116112375.0,2.2329302885,7.8,1343.0,178.0,1995.0,0.8904,en,10.137389
43.8,42.9,16500000,135000000.0,8.1818181818,7.2,364.0,136.0,1995.0,0.9479,en,10.673167
63.6,23.3,4000000,4300000.0,1.075,6.5,539.0,98.0,1995.0,0.937,en,9.026586
9.1,0.0,30000000,212385533.0,7.0795177667,6.1,1128.0,90.0,1995.0,0.8575,en,8.205448
14.3,21.7,60000000,35431113.0,0.59051855,5.4,224.0,103.0,1995.0,0.8877,en,7.337906
14.3,26.7,30250000,115101622.0,3.8050122975,6.4,305.0,105.0,1995.0,0.8,en,12.669608
20.0,31.4,50000000,30303072.0,0.60606144,6.0,394.0,132.0,1995.0,0.7616,en,11.065939
50.0,27.3,3600000,49800000.0,13.8333333333,7.1,365.0,112.0,1995.0,0.8192,en,10.332025
71.4,71.4,12000000,27400000.0,2.2833333333,6.6,91.0,100.0,1995.0,0.8,en,8.681325
33.3,14.3,18000000,1738611.0,0.0965895,7.6,308.0,108.0,1995.0,0.3699,fr,9.822423
23.6,11.4,29500000,168840000.0,5.7233898305,7.4,2470.0,129.0,1995.0,0.9918,en,12.297305
50.0,0.0,30000000,254134910.0,8.4711636667,6.0,756.0,89.0,1995.0,0.5425,en,14.404764
32.3,20.0,11000000,39363635.0,3.5785122727,7.3,350.0,122.0,1995.0,0.9918,en,6.891317
14.3,25.0,18000000,122195920.0,6.7886622222,5.4,452.0,101.0,1995.0,0.6274,en,10.870138
41.7,54.5,20000000,21284514.0,1.0642257,6.7,177.0,106.0,1995.0,0.3808,en,10.448481
61.3,62.5,10000000,23574130.0,2.357413,6.5,38.0,116.0,1995.0,0.7616,en,4.485958
15.8,20.0,33000000,327311859.0,9.9185411818,8.1,5915.0,127.0,1995.0,0.7233,en,18.45743
21.4,9.1,55000000,346079773.0,6.2923595091,6.7,1509.0,81.0,1995.0,0.4493,en,13.280069
13.3,25.9,6000000,23341568.0,3.8902613333,8.1,3334.0,106.0,1995.0,0.5452,en,16.302466
36.4,29.6,15000000,6700000.0,0.4466666667,6.7,145.0,95.0,1995.0,0.6986,en,15.899134
35.3,0.0,3500000,28215918.0,8.0616908571,7.0,513.0,91.0,1995.0,0.3151,en,14.56965
26.3,18.4,19000000,25836616.0,1.3598218947,6.9,1644.0,108.0,1996.0,0.0492,en,15.339153
23.5,22.2,50000000,11534477.0,0.23068954,4.1,54.0,91.0,1995.0,0.8384,en,5.912223
28.6,0.0,15000000,2042530.0,0.1361686667,3.9,16.0,90.0,1996.0,0.0683,en,2.936443
28.6,25.0,20000000,5781885.0,0.28909425,6.1,154.0,108.0,1995.0,0.6849,en,12.758848
28.6,12.5,8000000,529766.0,0.06622075,6.7,87.0,116.0,1995.0,0.9151,en,4.486179
6.7,0.0,38000000,10300000.0,0.2710526316,6.3,86.0,129.0,1996.0,0.0874,en,9.568604
33.3,11.1,8169363,8175346.0,1.0007323704,6.1,190.0,90.0,1995.0,0.8904,en,6.848591
