directorGender,tmdbId,noDataCast,femaleCast,maleCast,noDataCrew,femaleCrew,maleCrew,movieId,imdbId
0,862,1,3,9,73,4,29,1,114709
0,8844,11,6,9,2,0,14,2,113497
0,15602,0,3,4,0,0,4,3,113228
0,31357,0,4,6,6,1,3,4,114885
0,11862,1,5,6,0,2,5,5,113041
0,949,20,15,30,44,6,21,6,113277
0,11860,11,27,19,22,11,20,7,114319
0,45325,0,3,4,0,0,4,8,112302
0,9091,0,1,5,1,1,7,9,114576
0,710,1,7,12,23,5,18,10,113189
0,9087,1,7,10,0,0,6,11,112346
0,12110,0,4,7,3,0,6,12,112896
0,21032,2,3,8,8,2,4,13,112453
0,10858,3,5,26,0,0,8,14,113987
0,1408,9,2,20,2,2,12,15,112760
0,524,16,3,26,0,3,7,16,112641
0,4584,1,7,9,1,3,4,17,114388
4,5,2,14,8,58,7,23,18,113101
0,9273,4,1,10,2,0,9,19,112281
0,11517,1,2,12,21,5,18,20,113845
0,8012,2,2,12,11,4,11,21,113161
0,1710,5,3,7,4,3,14,22,112722
0,9691,7,2,8,36,11,24,23,112401
0,12665,0,1,4,2,0,7,24,114168
0,451,0,7,7,1,3,8,25,113627
0,16420,1,2,6,0,0,3,26,114057
1,9263,2,10,4,1,5,2,27,114011
0,17015,8,8,10,15,3,4,28,114117
4,902,25,4,8,14,1,6,29,112682
0,37557,5,1,0,3,0,1,30,115012
0,9909,6,4,5,11,7,8,31,112792
0,63,10,13,42,116,4,31,32,114746
0,78802,2,1,4,16,3,6,33,114952
0,9598,6,6,6,0,0,11,34,112431
0,47018,1,4,7,21,2,7,35,112637
0,687,11,10,21,60,7,28,36,112818
0,139405,4,0,1,6,2,3,37,112286
0,33689,7,4,2,1,0,1,38,113442
1,9603,2,6,6,4,5,2,39,112697
2,34615,7,1,2,1,0,3,40,112749
0,31174,1,3,14,0,0,4,41,114279
4,11443,0,3,10,0,1,8,42,112819
0,35196,0,3,7,4,0,2,43,114272
0,9312,4,1,6,7,2,6,44,113855
0,577,2,5,7,5,6,5,45,114681
1,11861,3,19,12,2,10,6,46,113347
0,807,11,6,32,51,8,32,47,114369
4,10530,2,3,11,20,1,10,48,114148
1,8391,1,1,2,3,4,1,49,114916
0,629,3,2,13,37,7,20,50,114814
0,117164,1,2,4,0,0,1,51,109950
0,11448,1,4,7,3,8,19,52,113819
0,49133,3,0,2,1,0,3,53,110299
1,26441,3,2,8,0,2,0,54,112499
0,97406,0,2,6,1,0,1,55,113158
0,124057,0,1,4,0,0,3,56,113541
1,9089,0,5,5,6,6,5,57,113321
0,11010,9,1,4,4,0,6,58,110877
0,99040,3,1,1,0,0,2,59,112714
0,11359,1,2,7,3,3,4,60,113419
0,17182,0,9,8,10,7,11,61,116260
0,2054,1,7,8,31,6,20,62,113862
0,10607,2,5,7,1,0,11,63,116126
0,19760,2,4,6,0,0,3,64,118002
0,9536,0,6,6,2,0,7,65,115683
0,11525,3,4,8,5,0,8,66,116839
0,40628,1,1,3,0,0,2,67,114753
1,4482,4,2,2,4,2,2,68,113149
0,10634,1,6,11,1,0,4,69,113118
0,755,14,5,14,79,7,31,70,116367
0,11859,1,4,13,5,2,7,71,113010
0,28387,4,6,11,1,0,3,72,113537
0,48750,4,4,8,0,0,3,73,113828
0,20927,16,9,10,145,10,26,74,115644
0,36929,0,2,5,0,0,3,75,115676
0,9102,2,2,5,19,4,12,76,114367
2,124626,3,2,2,5,1,0,77,113973
0,27526,8,9,12,0,0,11,78,112744
0,9623,2,3,10,2,0,8,79,116731
0,46785,5,0,0,1,0,1,80,112445
0,400,0,4,10,0,1,7,81,114660
2,880,10,3,1,8,0,1,82,112379
0,146599,1,5,5,2,0,1,83,114039
0,188588,1,7,8,0,0,1,84,113612
2,8447,1,4,3,22,3,3,85,112365
0,10534,0,1,14,3,0,7,86,118158
2,17414,1,5,10,1,0,6,87,116151
2,13997,4,1,12,1,0,1,88,115697
0,2086,0,4,8,1,1,8,89,113972
0,61548,1,1,4,3,2,7,90,113490
2,9095,2,3,6,3,5,6,92,117002
0,12158,1,2,6,3,1,7,93,114825
0,9283,3,16,20,14,6,15,94,115639
0,9208,1,1,13,5,0,12,95,115759
0,40154,2,4,8,0,1,6,96,113403
0,406,8,1,11,14,0,10,97,113247
0,45549,6,4,11,1,0,2,98,111173
0,63076,4,1,2,2,0,4,99,113283
0,11062,0,1,6,0,0,6,100,115907
0,13685,6,1,5,2,3,13,101,115734
0,47475,1,5,3,0,0,1,102,117102
0,2045,1,3,5,1,1,6,103,118040
0,9614,6,1,10,0,0,10,104,116483
0,688,5,4,3,3,2,8,105,112579
1,11907,2,2,2,5,2,0,106,110251
0,10874,5,1,6,1,0,7,107,117110
2,89333,29,9,10,2,0,0,108,112646
2,96357,1,1,7,4,0,1,109,113276
0,197,25,1,29,42,1,24,110,112573
0,103,8,6,16,24,6,16,111,75314
0,33542,5,1,3,3,0,1,112,113326
0,43566,2,4,9,0,0,4,113,115645
0,71754,1,3,2,22,1,6,114,113774
0,43612,3,2,8,6,1,2,115,112556
2,51352,0,1,1,1,0,0,116,112373
2,16934,15,3,10,7,1,1,117,115033
0,10324,1,3,3,2,1,3,118,116606
0,78406,0,3,6,3,0,2,119,114536
0,55731,4,3,7,0,0,2,120,117427
0,32119,1,0,4,0,0,1,121,106473
0,11066,1,6,6,2,0,4,122,103859
0,11104,7,3,2,8,0,5,123,109424
2,37975,49,2,9,4,0,0,124,114808
0,2074,5,10,10,4,5,6,125,116324
0,27793,1,5,8,5,2,11,126,110647
