castFemalePercentage,crewFemalePercentage,budget,revenue,revenueRatio,directorGender,vote_average,vote_count,runtime,releaseYear,releaseTimeOfYear,original_language,popularity,original_title,title
25.0,12.1,30000000,373554033.0,12.4518011,0,7.7,5415.0,81.0,1995.0,0.8274,en,21.946943,Toy Story,Toy Story
40.0,0.0,65000000,262797249.0,4.0430346,0,6.9,2413.0,104.0,1995.0,0.9534,en,17.015539,Jumanji,Jumanji
42.9,0.0,0,0.0,-1.0,0,6.5,92.0,101.0,1995.0,0.9726,en,11.7129,Grumpier Old Men,Grumpier Old Men
40.0,25.0,16000000,81452156.0,5.09075975,0,6.1,34.0,127.0,1995.0,0.9726,en,3.859495,Waiting to Exhale,Waiting to Exhale
45.5,28.6,0,76578911.0,-1.0,0,5.7,173.0,106.0,1995.0,0.1096,en,8.387519,Father of the Bride Part II,Father of the Bride Part II
33.3,22.2,60000000,187436818.0,3.1239469667,0,7.7,1886.0,170.0,1995.0,0.9534,en,17.924927,Heat,Heat
58.7,35.5,58000000,0.0,-1.0,0,6.2,141.0,127.0,1995.0,0.9534,en,6.677277,Sabrina,Sabrina
42.9,0.0,0,0.0,-1.0,0,5.4,45.0,97.0,1995.0,0.9726,en,2.561161,Tom and Huck,Tom and Huck
16.7,12.5,35000000,64350171.0,1.8385763143,0,5.5,174.0,106.0,1995.0,0.9726,en,5.23158,Sudden Death,Sudden Death
36.8,21.7,58000000,352194034.0,6.072310931,0,6.6,1194.0,130.0,1995.0,0.874,en,14.686036,GoldenEye,GoldenEye
41.2,0.0,62000000,107879496.0,1.739991871,0,6.5,199.0,106.0,1995.0,0.8767,en,6.318445,The American President,The American President
36.4,0.0,0,0.0,-1.0,0,5.7,210.0,88.0,1995.0,0.9726,en,5.430331,Dracula: Dead and Loving It,Dracula: Dead and Loving It
27.3,33.3,0,11348324.0,-1.0,0,7.1,423.0,78.0,1995.0,0.9726,en,12.140733,Balto,Balto
16.1,0.0,44000000,13681765.0,0.3109492045,0,7.1,72.0,192.0,1995.0,0.9726,en,5.092,Nixon,Nixon
9.1,14.3,98000000,10017322.0,0.1022175714,0,5.7,137.0,119.0,1995.0,0.9726,en,7.284477,Cutthroat Island,Cutthroat Island
10.3,30.0,52000000,116112375.0,2.2329302885,0,7.8,1343.0,178.0,1995.0,0.8904,en,10.137389,Casino,Casino
43.8,42.9,16500000,135000000.0,8.1818181818,0,7.2,364.0,136.0,1995.0,0.9479,en,10.673167,Sense and Sensibility,Sense and Sensibility
63.6,23.3,4000000,4300000.0,1.075,4,6.5,539.0,98.0,1995.0,0.937,en,9.026586,Four Rooms,Four Rooms
9.1,0.0,30000000,212385533.0,7.0795177667,0,6.1,1128.0,90.0,1995.0,0.8575,en,8.205448,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls
14.3,21.7,60000000,35431113.0,0.59051855,0,5.4,224.0,103.0,1995.0,0.8877,en,7.337906,Money Train,Money Train
14.3,26.7,30250000,115101622.0,3.8050122975,0,6.4,305.0,105.0,1995.0,0.8,en,12.669608,Get Shorty,Get Shorty
30.0,17.6,0,0.0,-1.0,0,6.5,199.0,124.0,1995.0,0.8192,en,10.701801,Copycat,Copycat
